Union/Municipalities,Upzila,District,Division,Country,AREA_SQKM
Abaipur,Shailkupa,Jhenaidah,Khulna,Bangladesh,21.97229838
Abdullahpur,Tongibari,Munshiganj,Dhaka,Bangladesh,3.580258296
Abdullapur,Char Fasson,Bhola,Barisal,Bangladesh,12.05209856
Abdullapur,Fatikchhari,Chittagong,Chittagong,Bangladesh,1.958312349
Abdulpur,Kushtia Sadar,Kushtia,Khulna,Bangladesh,25.23566835
Abdulpur,Chirirbandar,Dinajpur,Rangpur,Bangladesh,35.83827418
Abu Bakarpur,Char Fasson,Bhola,Barisal,Bangladesh,19.45466206
Achargaon,Nandail,Mymensingh,Mymensingh,Bangladesh,29.67083298
Achim Patuli,Fulbaria,Mymensingh,Mymensingh,Bangladesh,34.33148276
Achintapur,Gauripur,Mymensingh,Mymensingh,Bangladesh,30.33532612
Achmita,Katiadi,Kishoreganj,Dhaka,Bangladesh,20.96650688
Adabaria,Bauphal,Patuakhali,Barisal,Bangladesh,25.94192434
Adabaria,Daulatpur,Kushtia,Khulna,Bangladesh,29.35675559
Adair,Madhabpur,Habiganj,Sylhet,Bangladesh,14.06857826
Adam Dighi,Adamdighi,Bogra,Rajshahi,Bangladesh,27.39112581
Adampur,Austagram,Kishoreganj,Dhaka,Bangladesh,39.28612047
Adampur,Kamalganj,Maulvibazar,Sylhet,Bangladesh,106.3464436
Adarbhita,Madarganj,Jamalpur,Mymensingh,Bangladesh,29.96089215
Adda,Barura,Comilla,Chittagong,Bangladesh,17.46089168
Adhaipur,Badalgachhi,Naogaon,Rajshahi,Bangladesh,28.77008888
Adhakha Nazrul Nagar,Char Fasson,Bhola,Barisal,Bangladesh,39.0168345
Adhara,Munshiganj Sadar,Munshiganj,Dhaka,Bangladesh,33.79644038
Adhunagar,Lohagara,Chittagong,Chittagong,Bangladesh,26.15761968
Adiabad,Roypura,Narsingdi,Dhaka,Bangladesh,11.06595736
Adra,Barura,Comilla,Chittagong,Bangladesh,16.29327668
Adra,Nangalkot,Comilla,Chittagong,Bangladesh,29.11766028
Adra,Melandaha,Jamalpur,Mymensingh,Bangladesh,18.36908345
Adrabunia,Kanthalia,Jhalokati,Barisal,Bangladesh,23.10300118
Adrarak Chara,Langadu,Rangamati,Chittagong,Bangladesh,73.35181116
Aftabnagar,Sunamganj Sadar,Sunamganj,Sylhet,Bangladesh,24.54902969
Aganagar,Barura,Comilla,Chittagong,Bangladesh,15.7306955
